aes;АлматыЭнергоСбыт;{"suppl_code": "Aes", "suppl_full_name": "ТОО АЛМАТЫЭНЕРГОСБЫТ", "suppl_talk_name": "АлматыЭнергоСбыт", "phone": "3569999", "talk_phone": "356, 99, 99"}
alts;Алматинский тепловой сеть;{"suppl_code": "Alts", "suppl_full_name": "АЛМАТИНСКИЕ ТЕПЛОВЫЕ СЕТИ", "suppl_talk_name": "Алматинские тепловые сети", "phone": "3410777", "talk_phone": "341, 0, 777"}
almaty_gaz;Алматы Газ;{"suppl_code": "Almaty_gaz", "suppl_full_name": "АРЦ Алматыгаз", "suppl_talk_name": "а р це Алматыгаз", "phone": "2445533", "talk_phone": "244, 55, 33"}
tartyp;Тартып;{"suppl_code": "Tartyp", "suppl_full_name": "АО Тартып", "suppl_talk_name": "Тартып", "phone": "3777444", "talk_phone": "3, 777, 444"}
almaty_su;Алматы Су;{"suppl_code": "Almaty_su", "suppl_full_name": "Алматы Су", "suppl_talk_name": "Алматы Су", "phone": "3777444", "talk_phone": "3, 777, 444"}
